complex_area,sch_code,sch_name,url,ProbableSuffix
Farrington-Kaiser-Kalani,139,Niu Valley Middle School,https://arch-prod-reports-repository.s3-us-west-1.amazonaws.com/ssir/2020/139SSIR-1.pdf,1
Kaimuki-McKinley-Roosevelt,140,Noelani Elem School,https://arch-prod-reports-repository.s3-us-west-1.amazonaws.com/ssir/2020/140SSIR-1.pdf,1
Kaimuki-McKinley-Roosevelt,141,Nuuanu Elem School,https://arch-prod-reports-repository.s3-us-west-1.amazonaws.com/ssir/2020/141SSIR-1.pdf,1
Kaimuki-McKinley-Roosevelt,142,Palolo Elem School,https://arch-prod-reports-repository.s3-us-west-1.amazonaws.com/ssir/2020/142SSIR-1.pdf,1
Kaimuki-McKinley-Roosevelt,143,Pauoa Elem School,https://arch-prod-reports-repository.s3-us-west-1.amazonaws.com/ssir/2020/143SSIR-1.pdf,1
Farrington-Kaiser-Kalani,145,Puuhale Elem School,https://arch-prod-reports-repository.s3-us-west-1.amazonaws.com/ssir/2020/145SSIR-1.pdf,1
Kaimuki-McKinley-Roosevelt,146,Roosevelt High School,https://arch-prod-reports-repository.s3-us-west-1.amazonaws.com/ssir/2020/146SSIR-1.pdf,1
Kaimuki-McKinley-Roosevelt,147,Royal Elem School,https://arch-prod-reports-repository.s3-us-west-1.amazonaws.com/ssir/2020/147SSIR-1.pdf,1
Kaimuki-McKinley-Roosevelt,148,Stevenson Middle School,https://arch-prod-reports-repository.s3-us-west-1.amazonaws.com/ssir/2020/148SSIR-1.pdf,1
Farrington-Kaiser-Kalani,150,Waikiki Elem School,https://arch-prod-reports-repository.s3-us-west-1.amazonaws.com/ssir/2020/150SSIR-1.pdf,1
Kaimuki-McKinley-Roosevelt,152,Washington Middle School,https://arch-prod-reports-repository.s3-us-west-1.amazonaws.com/ssir/2020/152SSIR-1.pdf,1
Farrington-Kaiser-Kalani,153,Wilson Elem School,https://arch-prod-reports-repository.s3-us-west-1.amazonaws.com/ssir/2020/153SSIR-1.pdf,1
Farrington-Kaiser-Kalani,154,Kaiser High School,https://arch-prod-reports-repository.s3-us-west-1.amazonaws.com/ssir/2020/154SSIR-1.pdf,1
Farrington-Kaiser-Kalani,155,Kamiloiki Elem School,https://arch-prod-reports-repository.s3-us-west-1.amazonaws.com/ssir/2020/155SSIR-1.pdf,1
Aiea-Moanalua-Radford,200,Aiea Elem School,https://arch-prod-reports-repository.s3-us-west-1.amazonaws.com/ssir/2020/200SSIR-2.pdf,2
Aiea-Moanalua-Radford,201,Aiea Inter School,https://arch-prod-reports-repository.s3-us-west-1.amazonaws.com/ssir/2020/201SSIR-2.pdf,2
Aiea-Moanalua-Radford,202,Aiea High School,https://arch-prod-reports-repository.s3-us-west-1.amazonaws.com/ssir/2020/202SSIR-2.pdf,2
Aiea-Moanalua-Radford,203,Aliamanu Elem School,https://arch-prod-reports-repository.s3-us-west-1.amazonaws.com/ssir/2020/203SSIR-2.pdf,2
Aiea-Moanalua-Radford,204,Aliamanu Middle School,https://arch-prod-reports-repository.s3-us-west-1.amazonaws.com/ssir/2020/204SSIR-2.pdf,2
Leilehua-Mililani-Waialua,206,Haleiwa Elem School,https://arch-prod-reports-repository.s3-us-west-1.amazonaws.com/ssir/2020/206SSIR-2.pdf,2
Leilehua-Mililani-Waialua,207,Inouye Elem School,https://arch-prod-reports-repository.s3-us-west-1.amazonaws.com/ssir/2020/207SSIR-2.pdf,2
Leilehua-Mililani-Waialua,208,Helemano Elem School,https://arch-prod-reports-repository.s3-us-west-1.amazonaws.com/ssir/2020/208SSIR-2.pdf,2
Aiea-Moanalua-Radford,209,Hickam Elem School,https://arch-prod-reports-repository.s3-us-west-1.amazonaws.com/ssir/2020/209SSIR-2.pdf,2
Leilehua-Mililani-Waialua,210,Iliahi Elem School,https://arch-prod-reports-repository.s3-us-west-1.amazonaws.com/ssir/2020/210SSIR-2.pdf,2
Leilehua-Mililani-Waialua,211,Kaala Elem School,https://arch-prod-reports-repository.s3-us-west-1.amazonaws.com/ssir/2020/211SSIR-2.pdf,2
Leilehua-Mililani-Waialua,212,Kipapa Elem School,https://arch-prod-reports-repository.s3-us-west-1.amazonaws.com/ssir/2020/212SSIR-2.pdf,2
Leilehua-Mililani-Waialua,214,Leilehua High School,https://arch-prod-reports-repository.s3-us-west-1.amazonaws.com/ssir/2020/214SSIR-2.pdf,2
Aiea-Moanalua-Radford,215,Makalapa Elem School,https://arch-prod-reports-repository.s3-us-west-1.amazonaws.com/ssir/2020/215SSIR-2.pdf,2
Leilehua-Mililani-Waialua,216,Mililani High School,https://arch-prod-reports-repository.s3-us-west-1.amazonaws.com/ssir/2020/216SSIR-2.pdf,2
Aiea-Moanalua-Radford,217,Moanalua Elem School,https://arch-prod-reports-repository.s3-us-west-1.amazonaws.com/ssir/2020/217SSIR-2.pdf,2
Aiea-Moanalua-Radford,218,Moanalua High School,https://arch-prod-reports-repository.s3-us-west-1.amazonaws.com/ssir/2020/218SSIR-2.pdf,2
Aiea-Moanalua-Radford,219,Moanalua Middle School,https://arch-prod-reports-repository.s3-us-west-1.amazonaws.com/ssir/2020/219SSIR-2.pdf,2
Aiea-Moanalua-Radford,220,Mokulele Elem School,https://arch-prod-reports-repository.s3-us-west-1.amazonaws.com/ssir/2020/220SSIR-2.pdf,2
Aiea-Moanalua-Radford,221,Nimitz Elem School,https://arch-prod-reports-repository.s3-us-west-1.amazonaws.com/ssir/2020/221SSIR-2.pdf,2
Aiea-Moanalua-Radford,222,Pearl Harbor Elem School,https://arch-prod-reports-repository.s3-us-west-1.amazonaws.com/ssir/2020/222SSIR-2.pdf,2
Aiea-Moanalua-Radford,223,Pearl Harbor Kai Elem School,https://arch-prod-reports-repository.s3-us-west-1.amazonaws.com/ssir/2020/223SSIR-2.pdf,2
Aiea-Moanalua-Radford,224,Radford High School,https://arch-prod-reports-repository.s3-us-west-1.amazonaws.com/ssir/2020/224SSIR-2.pdf,2
Aiea-Moanalua-Radford,225,Red Hill Elem School,https://arch-prod-reports-repository.s3-us-west-1.amazonaws.com/ssir/2020/225SSIR-2.pdf,2
Leilehua-Mililani-Waialua,226,Solomon Elem School,https://arch-prod-reports-repository.s3-us-west-1.amazonaws.com/ssir/2020/226SSIR-2.pdf,2
Aiea-Moanalua-Radford,227,Scott Elem School,https://arch-prod-reports-repository.s3-us-west-1.amazonaws.com/ssir/2020/227SSIR-2.pdf,2
Aiea-Moanalua-Radford,228,Shafter Elem School,https://arch-prod-reports-repository.s3-us-west-1.amazonaws.com/ssir/2020/228SSIR-2.pdf,2
Leilehua-Mililani-Waialua,229,Wahiawa Elem School,https://arch-prod-reports-repository.s3-us-west-1.amazonaws.com/ssir/2020/229SSIR-2.pdf,2
Leilehua-Mililani-Waialua,230,Wahiawa Middle School,https://arch-prod-reports-repository.s3-us-west-1.amazonaws.com/ssir/2020/230SSIR-2.pdf,2
Leilehua-Mililani-Waialua,231,Waialua Elem School,https://arch-prod-reports-repository.s3-us-west-1.amazonaws.com/ssir/2020/231SSIR-2.pdf,2
Leilehua-Mililani-Waialua,232,Waialua High & Inter School,https://arch-prod-reports-repository.s3-us-west-1.amazonaws.com/ssir/2020/232SSIR-2.pdf,2
Aiea-Moanalua-Radford,233,Waimalu Elem School,https://arch-prod-reports-repository.s3-us-west-1.amazonaws.com/ssir/2020/233SSIR-2.pdf,2
Leilehua-Mililani-Waialua,234,Mililani Waena Elem School,https://arch-prod-reports-repository.s3-us-west-1.amazonaws.com/ssir/2020/234SSIR-2.pdf,2
Aiea-Moanalua-Radford,235,Webling Elem School,https://arch-prod-reports-repository.s3-us-west-1.amazonaws.com/ssir/2020/235SSIR-2.pdf,2
Leilehua-Mililani-Waialua,236,Wheeler Elem School,https://arch-prod-reports-repository.s3-us-west-1.amazonaws.com/ssir/2020/236SSIR-2.pdf,2
Leilehua-Mililani-Waialua,237,Wheeler Middle School,https://arch-prod-reports-repository.s3-us-west-1.amazonaws.com/ssir/2020/237SSIR-2.pdf,2
Leilehua-Mililani-Waialua,238,Mililani Middle School,https://arch-prod-reports-repository.s3-us-west-1.amazonaws.com/ssir/2020/238SSIR-2.pdf,2
Aiea-Moanalua-Radford,239,Salt Lake Elem School,https://arch-prod-reports-repository.s3-us-west-1.amazonaws.com/ssir/2020/239SSIR-2.pdf,2
Leilehua-Mililani-Waialua,240,Mililani Ike Elem School,https://arch-prod-reports-repository.s3-us-west-1.amazonaws.com/ssir/2020/240SSIR-2.pdf,2
Leilehua-Mililani-Waialua,241,Mililani Mauka Elem School,https://arch-prod-reports-repository.s3-us-west-1.amazonaws.com/ssir/2020/241SSIR-2.pdf,2
Leilehua-Mililani-Waialua,242,Mililani Uka Elem School,https://arch-prod-reports-repository.s3-us-west-1.amazonaws.com/ssir/2020/242SSIR-2.pdf,2
Aiea-Moanalua-Radford,243,Pearl Ridge Elem School,https://arch-prod-reports-repository.s3-us-west-1.amazonaws.com/ssir/2020/243SSIR-2.pdf,2
Pearl City-Waipahu,250,August Ahrens Elem School,https://arch-prod-reports-repository.s3-us-west-1.amazonaws.com/ssir/2020/250SSIR-3.pdf,3
Campbell-Kapolei,251,Barbers Point Elem School,https://arch-prod-reports-repository.s3-us-west-1.amazonaws.com/ssir/2020/251SSIR-3.pdf,3
Campbell-Kapolei,252,Campbell High School,https://arch-prod-reports-repository.s3-us-west-1.amazonaws.com/ssir/2020/252SSIR-3.pdf,3
Campbell-Kapolei,253,Ewa Elem School,https://arch-prod-reports-repository.s3-us-west-1.amazonaws.com/ssir/2020/253SSIR-3.pdf,3
Campbell-Kapolei,254,Ewa Beach Elem School,https://arch-prod-reports-repository.s3-us-west-1.amazonaws.com/ssir/2020/254SSIR-3.pdf,3
Pearl City-Waipahu,255,Highlands Inter School,https://arch-prod-reports-repository.s3-us-west-1.amazonaws.com/ssir/2020/255SSIR-3.pdf,3
Campbell-Kapolei,256,Iroquois Point Elem School,https://arch-prod-reports-repository.s3-us-west-1.amazonaws.com/ssir/2020/256SSIR-3.pdf,3
Nanakuli-Waianae,257,Maili Elem School,https://arch-prod-reports-repository.s3-us-west-1.amazonaws.com/ssir/2020/257SSIR-3.pdf,3
Nanakuli-Waianae,258,Makaha Elem School,https://arch-prod-reports-repository.s3-us-west-1.amazonaws.com/ssir/2020/258SSIR-3.pdf,3
Campbell-Kapolei,259,Makakilo Elem School,https://arch-prod-reports-repository.s3-us-west-1.amazonaws.com/ssir/2020/259SSIR-3.pdf,3
Pearl City-Waipahu,260,Manana Elem School,https://arch-prod-reports-repository.s3-us-west-1.amazonaws.com/ssir/2020/260SSIR-3.pdf,3
Nanakuli-Waianae,261,Nanaikapono Elem School,https://arch-prod-reports-repository.s3-us-west-1.amazonaws.com/ssir/2020/261SSIR-3.pdf,3
Nanakuli-Waianae,262,Nanakuli Elem School,https://arch-prod-reports-repository.s3-us-west-1.amazonaws.com/ssir/2020/262SSIR-3.pdf,3
Nanakuli-Waianae,263,Nanakuli High & Inter School,https://arch-prod-reports-repository.s3-us-west-1.amazonaws.com/ssir/2020/263SSIR-3.pdf,3
Pearl City-Waipahu,264,Palisades Elem School,https://arch-prod-reports-repository.s3-us-west-1.amazonaws.com/ssir/2020/264SSIR-3.pdf,3
Pearl City-Waipahu,265,Pearl City Elem School,https://arch-prod-reports-repository.s3-us-west-1.amazonaws.com/ssir/2020/265SSIR-3.pdf,3
Pearl City-Waipahu,266,Pearl City High School,https://arch-prod-reports-repository.s3-us-west-1.amazonaws.com/ssir/2020/266SSIR-3.pdf,3
Pearl City-Waipahu,267,Pearl City Highlands Elem,https://arch-prod-reports-repository.s3-us-west-1.amazonaws.com/ssir/2020/267SSIR-3.pdf,3
